iter	RMSE
0	4.605177482
1	4.286471196
2	4.009824634
3	3.751702793
4	3.535186194
5	3.337038234
6	3.177344462
7	3.031225979
8	2.893761735
9	2.786111186
10	2.683522979
11	2.59911569
12	2.529114481
13	2.465867217
14	2.410951696
15	2.363677185
16	2.320785254
17	2.289098078
18	2.257123548
19	2.230851979
20	2.20670328
21	2.183408205
22	2.165947714
23	2.151729634
24	2.136985339
25	2.124497793
26	2.113640931
27	2.104935888
28	2.093072397
29	2.083617718
30	2.074402324
31	2.067650827
32	2.059058261
33	2.052205186
34	2.047073539
35	2.0414989
36	2.037403941
37	2.032942415
38	2.028102899
39	2.023905297
40	2.020126048
41	2.017612468
42	2.01428785
43	2.011795211
44	2.008383655
45	2.00266956
46	1.998852818
47	1.996055455
48	1.991837476
49	1.989443454
50	1.986358727
51	1.983533713
52	1.981681993
53	1.978886641
54	1.974463713
55	1.969825087
56	1.966151036
57	1.963052272
58	1.960357743
59	1.956647003
60	1.953773832
61	1.950922822
62	1.948865075
63	1.947152421
64	1.94496308
65	1.942692001
66	1.940562632
67	1.938441865
68	1.935324102
69	1.932828538
70	1.930707197
71	1.929078888
72	1.926872466
73	1.925541855
74	1.923817456
75	1.921837161
76	1.918825619
77	1.915584086
78	1.912932529
79	1.910736454
80	1.908186422
81	1.905775144
82	1.904375673
83	1.901770549
84	1.900087413
85	1.898537764
86	1.896970553
87	1.895005214
88	1.89215566
89	1.889982304
90	1.887040041
91	1.88454876
92	1.88240748
93	1.88016159
94	1.877974356
95	1.875914283
96	1.874495367
97	1.872368687
98	1.870622914
99	1.869052526
