iter	Passed	Remaining
0	4	597
1	8	556
2	12	556
3	16	568
4	20	563
5	24	544
6	28	532
7	32	536
8	36	527
9	40	520
10	43	510
11	48	517
12	52	511
13	56	505
14	59	497
15	63	495
16	68	496
17	72	493
18	76	484
19	80	480
20	85	483
21	88	475
22	92	468
23	95	463
24	100	462
25	103	455
26	107	449
27	111	445
28	119	456
29	126	464
30	131	460
31	134	454
32	141	459
33	146	458
34	150	452
35	155	449
36	159	444
37	164	441
38	168	436
39	172	431
40	176	426
41	180	422
42	184	415
43	187	408
44	190	402
45	194	396
46	197	389
47	200	383
48	203	377
49	206	371
50	209	365
51	212	359
52	215	353
53	218	347
54	221	342
55	224	336
56	227	331
57	230	325
58	233	320
59	236	315
60	239	310
61	242	305
62	246	300
63	249	295
64	252	291
65	255	286
66	258	281
67	261	276
68	264	272
69	267	267
70	270	263
71	273	258
72	276	253
73	279	249
74	282	245
75	285	240
76	288	236
77	291	232
78	294	227
79	298	223
80	301	219
81	304	215
82	307	210
83	310	206
84	313	203
85	316	199
86	320	194
87	323	190
88	326	187
89	330	183
90	333	179
91	336	175
92	339	171
93	342	167
94	345	163
95	348	159
96	351	155
97	354	151
98	357	148
99	360	144
100	363	140
101	366	136
102	369	132
103	373	129
104	375	125
105	378	121
106	381	117
107	385	114
108	388	110
109	390	106
110	393	102
111	396	99
112	399	95
113	402	91
114	405	88
115	408	84
116	411	80
117	415	77
118	418	73
119	421	70
120	424	66
121	426	62
122	430	59
123	432	55
124	435	52
125	439	48
126	442	45
127	445	41
128	448	38
129	451	34
130	454	31
131	457	27
132	460	24
133	463	20
134	466	17
135	469	13
136	472	10
137	475	6
138	478	3
139	481	0
